id,pn,num,company_name,aog_status,create_time,PNR_ID
35289,21230-10BA,1.0,九元航空有限公司,Done,2022-03-20 21:30:33,21-3x-03
35290,21933-01AD,1.0,九元航空有限公司,Done,2022-03-20 21:30:33,21-3x-02
35385,645242-1,1.0,昆明航空有限公司,Confirm,2022-03-21 14:08:49,21-2x-28
35738,69-2914-15,1.0,凌云（宜昌）航空工程有限公司,Done,2022-03-22 16:38:22,21-2x-01-A
36485,396608-1,1.0,东海航空有限公司,Confirm,2022-03-25 13:31:50,21-5X-03
36516,645242-1,1.0,北京飞机维修工程有限公司呼和浩特分公司,Done,2022-03-25 15:02:10,21-2x-28
36682,645242-1,1.0,北京飞机维修工程有限公司重庆分公司,Done,2022-03-27 04:56:21,21-2x-28
36969,398908-5,1.0,河北航空有限公司,Confirm,2022-03-28 08:41:54,21-5X-35
36969,398908-5,1.0,河北航空有限公司,Confirm,2022-03-28 08:41:54,21-6X-19
37900,1019439-1-001,1.0,九元航空有限公司,Confirm,2022-04-01 10:02:51,21-3X-01
38066,67600014-1,1.0,厦门航空有限公司,Confirm,2022-04-02 08:52:24,21-5X-11
38066,67600014-1,1.0,厦门航空有限公司,Confirm,2022-04-02 08:52:24,21-5X-40
38424,67600014-1,1.0,九元航空有限公司,Done,2022-04-04 10:05:58,21-5X-11
38424,67600014-1,1.0,九元航空有限公司,Done,2022-04-04 10:05:58,21-5X-40
38838,645242-1,1.0,北京飞机维修工程有限公司呼和浩特分公司,Done,2022-04-06 15:49:40,21-2x-28
39851,396608-1,1.0,山东航空股份有限公司,Done,2022-04-11 22:47:20,21-5X-03
40281,622814-5,1.0,中原龙浩航空有限公司,Done,2022-04-14 06:14:29,21-6X-14
40314,398908-3,1.0,中原龙浩航空有限公司,Done,2022-04-14 10:17:02,21-5X-35
40314,398908-3,1.0,中原龙浩航空有限公司,Done,2022-04-14 10:17:02,21-6X-19
40721,548376-6,1.0,中原龙浩航空有限公司,Done,2022-04-17 01:18:38,21-6X-14
40762,398116-1-1,1.0,中原龙浩航空有限公司,Done,2022-04-17 01:35:54,21-6X-22
41578,3202444-1,1.0,厦门航空有限公司,Done,2022-04-21 10:58:20,21-6X-17
42558,213A3410-1,1.0,海航航空技术有限公司,Confirm,2022-04-26 08:21:40,21-5X-12-A
42559,213A3420-7,1.0,海航航空技术有限公司,Confirm,2022-04-26 08:21:40,21-5X-12-A
42605,213A3410-1,1.0,海南航空控股股份有限公司,Confirm,2022-04-26 11:10:36,21-5X-12-A
42606,213A3420-7,1.0,海南航空控股股份有限公司,Confirm,2022-04-26 11:10:36,21-5X-12-A
