"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
MU,1,"14MG73377",POW,CRT,"20140729","0000003131",USD,B737NG,"398908-4",25035.5,25035.5
MU,2,"14GX78309",POW,CRT,"20140731","0000003135",USD,B737NG,"398908-4",25035.5,50071
MU,2,"14GX78498",POW,CRT,"20141121","0000003131",USD,B737NG,"398908-4",25035.5,50071
CA,2,"4010027280",POW,CRT,"20150423",OS70210001,USD, ,"398908-4",25075.73,50151.46
MU,1,"15GX78186",POW,CRT,"20150611","0000003135",USD,B737NG,"398908-4",26395.5,26395.5
MU,2,"16GX73051",POW,AOG,"20160204","0000003135",USD,B737NG,"398908-5",29682,59364
MU,2,"16GX73065",POW,CRT,"20160217","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16GX73157",POW,CRT,"20160408","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16GX73162",POW,CRT,"20160411","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16GX73166",POW,CRT,"20160413","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16GX78246",POW,CRT,"20160418","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16KX77169",POW,AOG,"20160419","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16KX77216",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16GX73200",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,1,"16GX73201",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,27735.3
MU,2,"16KX77214",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16KX77215",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16KX77218",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16GX73199",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,2,"16KX77217",POW,CRT,"20160509","0000003135",USD,B737NG,"398908-5",27735.3,55470.6
MU,15,"16GX73324",POW,CRT,"20160613","0000003135",USD,B737NG,"398908-5",26348.54,395228.1
MU,1,"7800000128",PON,CRT,"20150618","1000000010",RMB, ,"4063-19972-01AA",101001.71,101001.71
MU,1,"7800000269",PON,CRT,"20150701","1000000150",RMB, ,"4101054",25613.45,25613.45
CA,1,"4010012278",POW, ,"20110525",OS99167001,USD, ,"4101054",20403.96,20403.96
CA,1,"4010019458",POW,NOR,"20130503",OS70210001,USD, ,"51090160-1",50101.5,50101.5
MU,1,"13GX78328",POW,CRT,"20130804","0000001347",USD,B737NG,"51090160-1",50101.5,50101.5
