CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT
MU,1,1600084953,HQY,CRT,20190905,1000000012,RMB,B737NG,930-1000-003,11312.39,11312.39,20190909,20190909,1.0
MU,1,1600097760,HQY,CRT,20191016,1000000141,RMB,B737NG,4081600-930,14666.9,14666.9,20191017,20191018,1.0
MU,1,1600101256,HQY,CRT,20191025,1000000141,RMB,B737NG,822-1604-101,126515.71,126515.71,20191028,20191119,22.0
MU,1,1600094212,HQY,AOG,20191009,1000000141,RMB,B737NG,9901-55-0000,1781.57,1781.57,20191010,20191031,21.0
MU,1,1600090450,HQY,AOG,20190923,1000000141,RMB,B737NG,822-2556-102,248438.41,248438.41,20190926,20191023,27.0
MU,1,1600096909,HQY,AOG,20191015,1000000031,RMB,B737NG,5145-1-86,5000,5000,20191016,20191028,12.0
MU,1,1600093445,HQY,CRT,20191003,1000000141,RMB,B737NG,1151952-19,0.01,0.01,20191004,20191101,28.0
MU,1,1600100706,HQY,AOG,20191024,1000000031,RMB,B737NG,822-1604-101,5000,5000,20191027,20191217,51.0
MU,1,1600103708,HQY,AOG,20191101,1000000012,RMB,B737NG,35008-307,8178.94,8178.94,20191103,20191106,3.0
MU,1,1600101263,HQY,CRT,20191026,1000000733,RMB,B737NG,HG2050AC07,0.01,0.01,20191026,20191101,6.0
MU,1,1600101390,HQY,CRT,20191026,1000000031,RMB,B737NG,20220-0101,100,100,20191026,20191125,30.0
MU,1,1600104131,HQY,CRT,20191104,1000000012,RMB,B737NG,1FA01134-2,22938.27,22938.27,20191104,20191219,45.0
MU,1,1600106844,HQY,AOG,20191112,1000000141,RMB,B737NG,315A2801-5,8955.4,8955.4,20191115,20191126,11.0
MU,1,1600111310,HQY,CRT,20191123,1000000012,RMB,B737NG,256A3110-8,123735.24,123735.24,20191125,20200219,86.0
MU,1,1600109262,HQY,AOG,20191119,1000000141,RMB,B737NG,314-2200-18,30000,30000,20191121,20200316,116.0
MU,1,1600102356,HQY,AOG,20191030,1000000141,RMB,B737NG,2206400-2,36523.13,36523.13,20191030,20191108,9.0
MU,1,1600105620,HQY,AOG,20191108,1000000031,RMB,B737NG,1FA01134-2,5000,5000,20191118,20191211,23.0
