"id","pn","num","company_name","aog_status","create_time"
35186,"398908-5",1.0000,山东航空股份有限公司,Doing,"2022-03-19 11:28:26"
35279,"63396754-2",1.0000,九元航空有限公司,Doing,"2022-03-20 21:25:55"
35289,"21230-10BA",1.0000,九元航空有限公司,Done,"2022-03-20 21:30:33"
35290,"21933-01AD",1.0000,九元航空有限公司,Done,"2022-03-20 21:30:33"
35385,"645242-1",1.0000,昆明航空有限公司,Confirm,"2022-03-21 14:08:49"
35727,ES210-1632,1.0000,浙江长龙航空有限公司,Doing,"2022-03-22 16:20:31"
35738,"69-2914-15",1.0000,凌云（宜昌）航空工程有限公司,Done,"2022-03-22 16:38:22"
35930,"69-2914-24",1.0000,九元航空有限公司,Doing,"2022-03-23 13:37:19"
36485,"396608-1",1.0000,东海航空有限公司,Confirm,"2022-03-25 13:31:50"
36516,"645242-1",1.0000,北京飞机维修工程有限公司呼和浩特分公司,Done,"2022-03-25 15:02:10"
36682,"645242-1",1.0000,北京飞机维修工程有限公司重庆分公司,Done,"2022-03-27 04:56:21"
36790,"548376-6",1.0000,中州航空有限责任公司,Doing,"2022-03-27 10:29:46"
36969,"398908-5",1.0000,河北航空有限公司,Confirm,"2022-03-28 08:41:54"
37136,"548376-6",1.0000,昆明航空有限公司,Doing,"2022-03-28 16:35:20"
37900,"1019439-1-001",1.0000,九元航空有限公司,Confirm,"2022-04-01 10:02:51"
38066,"67600014-1",1.0000,厦门航空有限公司,Confirm,"2022-04-02 08:52:24"
38424,"67600014-1",1.0000,九元航空有限公司,Done,"2022-04-04 10:05:58"
38838,"645242-1",1.0000,北京飞机维修工程有限公司呼和浩特分公司,Done,"2022-04-06 15:49:40"
39421,"622814-5",1.0000,中原龙浩航空有限公司,Doing,"2022-04-09 21:04:32"
39851,"396608-1",1.0000,山东航空股份有限公司,Done,"2022-04-11 22:47:20"
40259,"622814-5",1.0000,中原龙浩航空有限公司,Doing,"2022-04-14 03:29:21"
40281,"622814-5",1.0000,中原龙浩航空有限公司,Done,"2022-04-14 06:14:29"
40314,"398908-3",1.0000,中原龙浩航空有限公司,Done,"2022-04-14 10:17:02"
40448,"63396754-2",1.0000,山东航空股份有限公司,Doing,"2022-04-15 06:42:06"
40721,"548376-6",1.0000,中原龙浩航空有限公司,Done,"2022-04-17 01:18:38"
40738,"396608-1",1.0000,山东航空股份有限公司,Doing,"2022-04-17 01:26:40"
40762,"398116-1-1",1.0000,中原龙浩航空有限公司,Done,"2022-04-17 01:35:54"
41058,"2215240-1",1.0000,奥凯航空有限公司,Doing,"2022-04-18 16:38:00"
41578,"3202444-1",1.0000,厦门航空有限公司,Done,"2022-04-21 10:58:20"
42558,"213A3410-1",1.0000,海航航空技术有限公司,Confirm,"2022-04-26 08:21:40"
42559,"213A3420-7",1.0000,海航航空技术有限公司,Confirm,"2022-04-26 08:21:40"
42605,"213A3410-1",1.0000,海南航空控股股份有限公司,Confirm,"2022-04-26 11:10:36"
42606,"213A3420-7",1.0000,海南航空控股股份有限公司,Confirm,"2022-04-26 11:10:36"
43134,"645242-1",1.0000,北京飞机维修工程有限公司天津分公司,Done,"2022-04-28 20:57:28"
44494,"67600014-1",1.0000,东海航空有限公司,Doing,"2022-05-08 14:41:35"
44519,"572757-1",1.0000,中州航空有限责任公司,Cancel,"2022-05-08 20:09:04"
44520,"572756-1",1.0000,中州航空有限责任公司,Cancel,"2022-05-08 20:09:04"
45037,"7121-19971-01AC",1.0000,顺丰航空有限公司,Confirm,"2022-05-12 07:44:21"
45237,"321942-1-1",1.0000,东方航空技术有限公司,Doing,"2022-05-13 13:08:47"
46071,"398908-5",1.0000,幸福航空有限责任公司,Done,"2022-05-18 10:50:14"
47610,"213A3420-8",1.0000,山东航空股份有限公司,Confirm,"2022-05-26 18:37:06"
47988,"398908-5",1.0000,幸福航空有限责任公司,Confirm,"2022-05-28 21:25:01"
48034,"7123-19973-02AC",1.0000,厦门航空有限公司,Confirm,"2022-05-29 11:39:03"
48132,"541674-4",1.0000,中州航空有限责任公司,Doing,"2022-05-30 07:20:26"
48373,"7121-19971-01AC",1.0000,顺丰航空有限公司,Done,"2022-05-31 12:43:23"
49031,"398908-3",1.0000,九元航空有限公司,Confirm,"2022-06-03 12:41:23"
49274,"51090160-1",1.0000,厦门航空有限公司,Confirm,"2022-06-05 07:51:52"
50536,"51090160-1",1.0000,昆明航空有限公司,Doing,"2022-06-11 16:25:46"
50604,"645242-1",1.0000,山东航空股份有限公司,Confirm,"2022-06-11 23:48:22"
50628,"398116-1-1",1.0000,杭州圆通货运航空有限公司,Doing,"2022-06-12 08:50:01"
50676,"3202096-2",1.0000,山东航空股份有限公司,Doing,"2022-06-12 14:42:15"
50684,"624018-1",1.0000,中国邮政航空有限责任公司,Doing,"2022-06-12 15:35:22"
51827,"4101054",1.0000,杭州圆通货运航空有限公司,Confirm,"2022-06-17 17:43:56"
52565,"824392-1-002",1.0000,中国国际航空股份有限公司,Done,"2022-06-21 13:30:15"
53156,"1019439-2-001",1.0000,九元航空有限公司,Confirm,"2022-06-24 00:38:01"
53315,"3202444-1",2.0000,深圳航空有限责任公司,Done,"2022-06-24 14:56:44"
53360,"572757-1",1.0000,顺丰航空有限公司,Doing,"2022-06-24 16:20:53"
53361,"572756-1",1.0000,顺丰航空有限公司,Doing,"2022-06-24 16:20:53"
53968,"641121-1",1.0000,中国邮政航空有限责任公司,Confirm,"2022-06-27 16:03:24"
54024,"2215280-1",1.0000,海航航空技术有限公司,Confirm,"2022-06-27 19:43:31"
54084,"7121-19971-01AC",1.0000,中国邮政航空有限责任公司,Done,"2022-06-28 07:36:45"
54635,"814392-2-002",1.0000,东方航空技术有限公司,Doing,"2022-06-30 11:38:09"
54742,"824392-1-003",1.0000,东方航空技术有限公司,Confirm,"2022-06-30 18:32:26"
54745,"65-52810-64",1.0000,厦门航空有限公司,Doing,"2022-06-30 19:07:22"
55118,"1019439-1-001",1.0000,奥凯航空有限公司,Done,"2022-07-02 17:29:46"
55741,"1019439-1-001",1.0000,山东航空股份有限公司,Doing,"2022-07-06 07:48:20"
55985,"398908-5",1.0000,海南航空控股股份有限公司,Doing,"2022-07-07 05:07:09"
56241,"024116",1.0000,顺丰航空有限公司,Confirm,"2022-07-07 18:34:16"
56287,"67600014-1",1.0000,九元航空有限公司,Confirm,"2022-07-08 01:35:17"
56492,"641121-1",1.0000,中国邮政航空有限责任公司,Done,"2022-07-08 20:43:36"
56616,"7121-19971-01AB",1.0000,中原龙浩航空有限公司,Confirm,"2022-07-09 16:52:59"
56675,"622878-2",1.0000,北京飞机维修工程有限公司天津分公司,Confirm,"2022-07-10 08:57:26"
56822,"398908-3",1.0000,九元航空有限公司,Confirm,"2022-07-11 04:22:15"
56999,"213A3410-2",1.0000,海南航空控股股份有限公司,Confirm,"2022-07-11 17:36:19"
57239,"51090160-1",1.0000,幸福航空有限责任公司,Doing,"2022-07-12 18:25:10"
57256,"398908-5",1.0000,幸福航空有限责任公司,Done,"2022-07-12 21:07:59"
57271,"398908-3",1.0000,幸福航空有限责任公司,Done,"2022-07-13 00:30:38"
57315,"65-52810-57",1.0000,中州航空有限责任公司,Done,"2022-07-13 09:42:53"
57389,"20798-01",1.0000,海航航空技术有限公司,Doing,"2022-07-13 12:11:55"
57448,"63396754-2",1.0000,幸福航空有限责任公司,Confirm,"2022-07-13 14:56:17"
57491,"213A3410-2",1.0000,海航航空技术有限公司,Confirm,"2022-07-13 17:00:03"
57510,"3290206-1",1.0000,海航航空技术有限公司,Confirm,"2022-07-13 19:00:08"
57511,"65-52810-64",1.0000,海航航空技术有限公司,Confirm,"2022-07-13 19:00:08"
57512,"3214972-1",1.0000,海航航空技术有限公司,Confirm,"2022-07-13 19:00:08"
57513,"398908-3",1.0000,海航航空技术有限公司,Confirm,"2022-07-13 19:00:08"
57537,"51090248-005",1.0000,幸福航空有限责任公司,Done,"2022-07-13 22:18:46"
57656,"51090248-002",1.0000,幸福航空有限责任公司,Confirm,"2022-07-14 13:46:37"
57795,"21933-01AD",1.0000,山东航空股份有限公司,Confirm,"2022-07-15 08:18:19"
57796,"21230-03AC",1.0000,山东航空股份有限公司,Confirm,"2022-07-15 08:18:19"
57912,"645242-1",1.0000,奥凯航空有限公司,Done,"2022-07-15 14:07:29"
58218,"3202444-1",1.0000,海航航空技术有限公司,Confirm,"2022-07-17 14:12:02"
58290,"67600014-1",1.0000,九元航空有限公司,Done,"2022-07-18 04:39:38"
58621,"398908-3",1.0000,幸福航空有限责任公司,Confirm,"2022-07-19 12:36:19"
58729,"67600014-1",1.0000,奥凯航空有限公司,Done,"2022-07-19 22:26:20"
59053,"624018-1",1.0000,顺丰航空有限公司,Confirm,"2022-07-21 14:47:38"
59257,"622878-2",1.0000,北京飞机维修工程有限公司天津分公司,Confirm,"2022-07-22 15:11:18"
59798,"398908-3",1.0000,中国邮政航空有限责任公司,Confirm,"2022-07-26 08:09:24"
60070,"1019439-2-001",1.0000,深圳航空有限责任公司,Confirm,"2022-07-27 10:00:27"
60611,"21230-02AC",1.0000,山东航空股份有限公司,Confirm,"2022-07-29 21:27:49"
60705,"622878-2",1.0000,北京飞机维修工程有限公司重庆分公司,Done,"2022-07-30 14:00:49"
60878,"21933-01AD",1.0000,昆明航空有限公司,Confirm,"2022-07-31 18:58:32"
61118,"622814-5",1.0000,江苏京东货运航空有限公司,Confirm,"2022-08-02 01:40:29"
61221,"622878-2",2.0000,江苏京东货运航空有限公司,Confirm,"2022-08-02 14:36:20"
61695,"398908-3",1.0000,幸福航空有限责任公司,Confirm,"2022-08-04 19:44:45"
61813,"398908-3",1.0000,山东航空股份有限公司,Confirm,"2022-08-05 14:06:20"
62133,"622814-5",1.0000,中国邮政航空有限责任公司,Confirm,"2022-08-07 11:26:39"
62148,"3202444-1",1.0000,海航航空技术有限公司,Confirm,"2022-08-07 12:46:54"
62620,"398116-1-1",1.0000,苏南瑞丽航空有限公司,Confirm,"2022-08-10 01:08:17"
62908,"622878-2",1.0000,九元航空有限公司,Confirm,"2022-08-11 14:26:38"
63178,"572757-1",1.0000,中州航空有限责任公司,Confirm,"2022-08-12 21:52:02"
63180,"572756-1",1.0000,中州航空有限责任公司,Confirm,"2022-08-12 21:52:02"
63182,"641172-1",1.0000,中州航空有限责任公司,Confirm,"2022-08-12 21:52:02"
63371,"4063-19972-01AA",1.0000,中国邮政航空有限责任公司,Confirm,"2022-08-14 07:25:36"
63372,WL501RC1,1.0000,中国邮政航空有限责任公司,Doing,"2022-08-14 07:25:36"
63417,"1019439-2-001",1.0000,苏南瑞丽航空有限公司,Done,"2022-08-14 13:34:54"
63418,"824392-2-003",1.0000,苏南瑞丽航空有限公司,Cancel,"2022-08-14 13:38:03"
63904,"162BL903",1.0000,昆明航空有限公司,Done,"2022-08-16 17:21:39"
63907,"3290206-1",1.0000,山东航空股份有限公司,Confirm,"2022-08-16 17:39:58"
63976,"2215240-3",1.0000,深圳航空有限责任公司,Confirm,"2022-08-17 10:03:27"
64486,"3202444-1",1.0000,深圳航空有限责任公司,Confirm,"2022-08-19 15:54:24"
64546,"541674-4",1.0000,厦门航空有限公司,Done,"2022-08-20 03:06:10"
64616,"7121-19971-01AB",1.0000,中原龙浩航空有限公司,Done,"2022-08-20 16:47:52"
64755,"398116-1-1",1.0000,昆明航空有限公司,Cancel,"2022-08-21 21:33:02"
64756,"398116-1-1",1.0000,苏南瑞丽航空有限公司,Confirm,"2022-08-21 21:33:50"
64783,"3290206-1",1.0000,中国邮政航空有限责任公司,Done,"2022-08-22 07:56:52"
64983,"398908-5",1.0000,九元航空有限公司,Doing,"2022-08-23 01:24:44"
66174,"398908-3",1.0000,山东航空股份有限公司,Done,"2022-08-29 16:45:14"
66189,"398908-5",1.0000,山东航空股份有限公司,Done,"2022-08-29 17:54:54"
66357,"21933-01AC",1.0000,山东航空股份有限公司,Confirm,"2022-08-30 15:17:46"
67106,"7121-19971-01AC",1.0000,幸福航空有限责任公司,Doing,"2022-09-04 13:44:58"
67117,"69-2914-24",1.0000,厦门航空有限公司,Done,"2022-09-04 14:35:08"
67734,"3214972-1",1.0000,奥凯航空有限公司,Done,"2022-09-07 15:37:24"
67914,"63396754-2",1.0000,山东航空股份有限公司,Confirm,"2022-09-08 16:05:33"
67948,"67600014-1",1.0000,山东航空股份有限公司,Done,"2022-09-08 20:09:27"
67975,"67600014-1",1.0000,厦门航空有限公司,Confirm,"2022-09-09 00:02:31"
68078,"7121-19971-01AC",1.0000,天津货运航空有限公司,Done,"2022-09-09 13:33:24"
68289,"2215240-1",1.0000,幸福航空有限责任公司,Doing,"2022-09-11 08:41:45"
68365,"2215280-1",1.0000,昆明航空有限公司,Done,"2022-09-11 20:44:29"
68409,"3290206-1",1.0000,中国邮政航空有限责任公司,Done,"2022-09-12 10:57:12"
69157,"67600014-1",1.0000,苏南瑞丽航空有限公司,Confirm,"2022-09-16 12:08:50"
69195,"3202444-1",1.0000,九元航空有限公司,Done,"2022-09-16 14:26:02"
